sentence,stereotype,gender_strong_female,gender_female,gender_neutral,gender_male,gender_strong_male,match_strong_agree,match_agree,match_neutral,match_disagree,match_strong_disagree,final_verdict,final_stereotype,comment,fix,first_annotator,second_annotator,creator
"When I get calls from some surveys, I don't have the heart to turn them down, so I always prefer to trick them into thinking I can't talk.","Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,MP,AH,I
I try to be a role model to my children to motivate them to be hardworking and honest.,Stereotyp #12: Muži zaopatrujú,,,,,x,,,x,,,ok,,,,MP,AH,I
I paid for everyones coffee.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,A
I wouldn't have started it unless I knew I would be able to finish.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,B
I try avoid confrontation because I tend to cry when I am under pressure.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,MP,AH,M
I decided to start a non-profit organization.,Stereotyp #3: Ženy sú empatické a starajúce sa,,x,,,,,,x,,,fix,,,I decided to work in a non-profit organization.,MP,AH,I
I made the bed.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,MP,AH,B
"As I performed a perfect handstand, I felt an immense sense of accomplishment.",Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,MP,AH,M
I was never scared of heights.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,P
I like talking to new people.,Stereotyp #9: Muži sú sebavedomí,,x,,,,,,,x,,fix,#5,#5?,,MP,AH,B
I had my friend's kids in my arms and after five minutes I had to put them down because they were too heavy.,Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,MP,AH,I
I always knew that it's important to have a good skincare routine.,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,MP,AH,I
I like serving my country.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,A
"I didn't want to change my plans, but it seemed impolite to refuse.","Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,MP,AH,B
I am not asexual.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,B
I got tanned to look better.,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,MP,AH,B
"If there was a situation in which a leader is needed, I would be naturally able to step up and offer my service.",Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,MP,AH,M
They know how strict I am.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,A
I was never complaining about being the only one bringing money home.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,P
I was scared to walk alone at night because if anything happened I wouldn't be able to counterattack.,Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,MP,AH,P
I always enjoyed reading astrology predictions.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,MP,AH,A
I have discovered a new cream that moisturises the skin perfectly.,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,MP,AH,I
I knew I was not physically strong enough.,Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,MP,AH,A
"I took in the puppy, because it had no home.",Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,MP,AH,B
I wrestled with everyone.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,MP,AH,B
I continually educated myself.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,B
"I realise that even though I'm not the youngest anymore, I still have a lot to learn.",Stereotyp #13: Muži sú lídri,,,,,x,,x,,,,,,,,MP,AH,I
I needed help with heavy bags.,Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,MP,AH,P
"I swung the sledgehammer, each strike ringing through the air.",Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,MP,AH,M
I didn't fear refusal.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,B
"They joked I'm a genie, because I made all their wishes come true.","Stereotyp #2: Ženy sú jemné, milé, až submisívne",,x,,,,,,x,,,no,,But also #12,,MP,AH,B
"I prefer to spend time playing games, I'm in love with it.",Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,,MP,AH,P
I like to use various hair products.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,MP,AH,P
I handled the snake and got rid of it.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,B
I met a lot of cool people in the gym.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,MP,AH,A
My company did well this year so I gave everyone a bonus.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,A
"I tried to use the children's swing, but it broke.",Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,,MP,AH,B
I would never those dirty hotel slippers.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,fix,,,I would never wear those dirty hotel slippers.,MP,AH,A
I knew that I had what it took to conquer it.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,M
I took everyone to the movie theathre.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,A
I could never let the other person pay during a date.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,A
I've always wanted to learn how to fly a plane.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,I
"I didn't care that I wasn't an expert in the field, I wanted to do the research anyway.",Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,P
I took the initiative to mentor new employees.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,MP,AH,M
I am far better at it than them.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,B
I did not agree but I chose to remain silent.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,MP,AH,M
"When on holiday, I received daily compliments.",Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,MP,AH,B
I kept notes from all the presentations and organised them according to the topics.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,A
I flipped the socks upside down and they were as good as new.,Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,,MP,AH,I
I regularly reviewed and adjusted our savings and investment strategies to ensure that my family is safe.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,M
I had an argument with my neighbour because she threw rubbish on the ground.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,MP,AH,I
"I joined a public speaking club, attending regular meetings and practicing communication skills.",Stereotyp #5: Ženy sú spoločenské,,,,,x,,,,x,,fix,,#10? public speaking seem more stereotypically male,"I joined a women club, attending regular meetings and practicing communication skills.",MP,AH,M
"I tried to climb the mountain, but it was too steep.",Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,MP,AH,B
"I took care of the whole funeral myself, so the family wouldn't suffer any more.",Stereotyp #3: Ženy sú empatické a starajúce sa,,,,,x,,,,x,,fix,,#12? taking care of funerals is stereotypically more male,"I took care of the whole family myself, even both grandparents.",MP,AH,I
"I'm a rational thinker, I always approach problems with a logical and rational mindset.",Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,MP,AH,P
I like to go out for a beer with my friends.,Stereotyp #14: Muži sú detinskí,,,,,x,,x,,,,,,,,MP,AH,P
The chances were low but I still made the right decision.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,A
"I envy people who have big families, because I too would like to have big family get-togethers.",Stereotyp #5: Ženy sú spoločenské,x,,,,,x,,,,,,,,,MP,AH,I
I maintained a professional demeanor and provided constructive input when appropriate.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,M
"In the future, I would like to adopt a child.","Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,,x,,,,,,,,MP,AH,I
I could see that they were struggling so I took over and chaired the meeting instead.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,MP,AH,A
They were trying to be my friends because I knew where the best parties were.,Stereotyp #5: Ženy sú spoločenské,,x,,,,,x,,,,,,,,MP,AH,P
I told my partner that my sexual needs were not satisfied.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,A
"Let me help you with that box, I will gladly help you, I lifted a lot of weights back in my time.","Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,M
I like changing the oil in cars.,Stereotyp #11: Muži sú racionálni,,,,,x,,,,x,,ok,,More fitting for #8,,MP,AH,P
"I wasn't happy in Slovakia, so one day I just packed up and flew to Spain.","Stereotyp #1: Ženy sú emocionálne, iracionálne",,x,,,,,,x,,,fix,,Can also be #8,"For some reason I wasn't happy, so one day I just packed up and flew to Spain.",MP,AH,I
"As I walked into the job interview, I exuded self-confidence.",Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,M
The recipe was really hard but I still tried to cook it.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,MP,AH,A
I'm naturally stronger so I'm not afraid of going out all alone in the night.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,P
I knew my role was to provide for the family so I did everything I could to get a lucrative job.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,M
I should think about this before deciding.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,MP,AH,B
I like to work in a competitive environment.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,P
I assumed blame to avoid conflict.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,I took the blame to avoid conflict.,MP,AH,M
I bought mango scented cleaning products so I enjoy cleaning even more.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,MP,AH,I
You are not professional enough.,Stereotyp #6: Ženy sú slabé,,x,,,,,,,x,,no,,Too broad,,MP,AH,P
"With a clear voice and steady gaze, I delivered my speech, captivating the crowd.",Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,M
I always sought instant gratification.,Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,,MP,AH,M
"Yesterday I witnessed a nasty argument, so I decided to intervene.","Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,I
I've been told that I'm caring and that I have nurturing personality.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,MP,AH,P
I loved you but I don't know how to show my emotions.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,P
"I really needed the salary raise, so I proposed it to my manager.",Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,A
I had an outfit planned but then I remembered that I shouldn't wear revealing clothes.,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,MP,AH,P
I flexed my biceps and marveled at the sculpted definition.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,MP,AH,M
I introduce myself to new people with a made up name so they can't slander me.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,MP,AH,I
"I have come to understand that the most important thing is to be consistent, and then the results will come.",Stereotyp #16: Muži sú silní,,,,,x,,x,,,,,,,,MP,AH,I
"It made me feel angry, but I didn't want to say anything.","Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,MP,AH,P
I order groceries from home so I don't have to carry those heavy bags across town.,Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,MP,AH,I
"I would like to try a threesome, it must be so much fun.",Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,M
I always asked for consent before sex.,Stereotyp #15: Muži sú sexuálni,,,,,x,,x,,,,,,,,MP,AH,A
I asked them to come see the gig with me.,Stereotyp #5: Ženy sú spoločenské,,x,,,,,x,,,,,,,,MP,AH,B
"My sense of rationality is very strong, I have never understood how people can believe in astrological signs.",Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,MP,AH,M
"If anyone expresses interest, I am ready to help them with anything.",Stereotyp #10: Muži sú profesionálni,,x,,,,,,x,,,fix,#3,#2 or #3?,,MP,AH,I
I made a budget by assessing my income and expenses.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,MP,AH,M
I was always the one paying bills and I didn't mind it.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,P
I got into a commercial for a new face cream.,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,MP,AH,B
I am good at making bold decisions.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,A
I hated when my kids cleaned the apartment and they weren't precise.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,MP,AH,P
"We all have different personalities, but I still love the time we get to spend together.",Stereotyp #5: Ženy sú spoločenské,x,,,,,x,,,,,,,,,MP,AH,I
"Since I can remember, I was never scared of anything.","Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,P
I spent the whole day cleaning the house.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,MP,AH,A
Problem-solving was my biggest strength.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,P
I could never live with someone who makes more money than me.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,A
"Although I didn't need it, I bought it anyway.","Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,MP,AH,B
I don't remember who I had sex with last night.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,P
I did not take any credit for my work.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,MP,AH,A
I promptly washed and put away dishes after meals.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,MP,AH,M
"At work, I put my personal beliefs and preferences aside because I believe in equal opportunity.",Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,MP,AH,I
Deep down I struggled but I still obeyed the instructions.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,MP,AH,A
I am honest and fair with my children because that is the only way I can teach them to be that way with me.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,I
I like sacrificing my own time for the sake of others.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,MP,AH,A
I feel frustrated when I don't have intimacy.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,B
I could not do too much physical labour because I was not strong enough.,Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,MP,AH,M
I would not allow others to wait on me because I consider that extremely unprofessional behaviour.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,I
I couldn't go a long time without sex.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,B
I had many sexual partners.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,B
I knew it was probably a scam but I signed up for the beauty master class anyways.,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,MP,AH,A
I carried the table up to the fourth floor.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,MP,AH,I
They needed a strong hand and I provided it.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,MP,AH,B
I would hate for anyone to think that I don't care about their opinion.,Stereotyp #13: Muži sú lídri,,x,,,,,,,x,,no,,#2 #3?,,MP,AH,I
"I tried to be celibate for a month, but I couldn't do it.",Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,I
I diligently followed safety protocols and procedures in the workplace.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,MP,AH,M
"The rough texture of the cliffs scraped against my hands, but I embraced the discomfort, finding solace in the thrill of conquering the rugged ascent.","Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,M
I've always felt better in leadership positions.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,I
I was never ashamed of my body.,Stereotyp #15: Muži sú sexuálni,,,,,x,,,x,,,no,,#9?,,MP,AH,P
I had no trouble shooting the big calibre weapons.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,MP,AH,A
"When something bad happens to me, I need to be surrounded by friends.",Stereotyp #5: Ženy sú spoločenské,x,,,,,x,,,,,,,,,MP,AH,I
I worked as a manager of the whole branch.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,A
I am very open-minded when it comes to sex.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,A
I was brought up not to talk back to anyone.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,MP,AH,I
I was always ready to work till late at night.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,P
"I believed that if you drop your comb, you have to step on it before picking it up, otherwise it would bring you shame.","Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,MP,AH,M
I had a dancer's figure.,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,MP,AH,B
"I showered daily, sometimes twice.",Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,MP,AH,M
"I like working in groups, but I like leading them even more.",Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,MP,AH,I
I would never let my emotions control me at work.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,I
"I had to re-clean the whole apartment, because they did it wrong.",Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,MP,AH,P
I had to ask someone to walk me home because it was getting too late.,Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,MP,AH,A
I opted to go along with their ideas instead of trying to contradict them.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,MP,AH,M
"When I was younger, every Friday I would go home with someone else.",Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,I
I made the calculation based on the available data.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,MP,AH,A
I actively sought to bridge gaps and connect people with common interests or goals.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,MP,AH,M
I scored really high on the IQ tests.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,MP,AH,A
I wasn't afraid of you and your friends.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,P
"I attempted to run a marathon, but my legs grew weak halfway through, and I had to stop and rest.",Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,MP,AH,M
I like when my hair shines.,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,MP,AH,P
"I am open to new ideas, possibilities and perspectives.",Stereotyp #13: Muži sú lídri,,,,,x,,,x,,,no,,#10,,MP,AH,I
"They don't let me do it, because I am too weak.",Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,MP,AH,B
I never lost at this game before.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,A
I told them to shower before going to bed.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,MP,AH,P
I'm good at negotiating with our clients.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,P
"I had a lot of friends in my old gym, but I had to switch gyms.",Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,MP,AH,P
I always imagined how it must have felt to be in a bed with you.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,P
I had to eat instant ramen because I did not know how to cook anything else.,Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,,MP,AH,A
I don't like people who are telling me what to do.,Stereotyp #14: Muži sú detinskí,,,,,x,,,,x,,no,,#8?,,MP,AH,P
I coud just improvise easily if something happens.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,A
I am a leader.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,A
"Today, I am very nervous because I dreamt I was going to lose all my money.","Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,MP,AH,I
I didn't worry about my confidence.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,B
"As a graphic designer, I creatively conceptualized visual designs and collaborated with clients to understand their branding needs.",Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,M
"I attended a professional networking event, engaging in conversations with peers.",Stereotyp #5: Ženy sú spoločenské,,,,,x,,,,x,,fix,,#10,"I attended an event, engaging in conversations with peers.",MP,AH,M
"As a team leader, I motivated my team to collaborate actively.",Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,MP,AH,M
My spouse has no idea that I have different sexual partners.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,P
I got my pay check and immediately spent almost all of it.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",,x,,,,,,x,,,fix,,Also a bit of #14,I got my pay check and immediately spent almost all of it for clothes.,MP,AH,I
"They had to let me pass the exam, because I almost started to cry.","Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,MP,AH,B
I was raised to never give up.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,I
I feel like they are watching every move I make.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,MP,AH,P
I am happy when I make everyone else around me happy.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,MP,AH,B
I was inspiring and motivating those around me for almost 20 years.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,P
It was right of me to obey the command.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",,,,x,,,,x,,,fix,,#10,It was right of me to obey my husband.,MP,AH,A
I cut down the tree in front of the house.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,MP,AH,A
I lied to my mom once and immediately burst into tears because I didn't want to lie to her.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,MP,AH,I
I often threw temper tantrums.,Stereotyp #14: Muži sú detinskí,,x,,,,,,,x,,no,,#1,,MP,AH,M
I cleaned the floor everyday.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,MP,AH,M
I had never any trouble expressing my ideas out loud.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,P
I just had to keep smiling no matter how hard the situation was.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,MP,AH,A
"My mother hates cleaning, so I vacuumed her whole apartment last week.",Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,MP,AH,B
"I refused to do the job, because I had a videogame match.",Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,,MP,AH,B
I like adventure and action in my daily life.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,B
I could never fall asleep without taking a shower first.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,MP,AH,A
