from,to
"When on holiday, I received daily compliments.","Ko sem bil na počitnicah, sem vsak dan prejemal pohvale."
"I tried to use the children's swing, but it broke.","Poskušal sem uporabiti otroško gugalnico, vendar se je zlomila."
I never liked confronting someone.,Nikoli nisem maral soočiti z nekom.
"I wasn't happy in Slovakia, even though I didn´t know why. So one day I just packed up and flew to Spain.","Na Slovaškem nisem bil zadovoljen, čeprav nisem vedel zakaj. Nekega dne sem se spakirala in odletela v Španijo."
I handled the snake and got rid of it.,Ročila sem s kačo in se je znebila.
I'm naturally stronger so I'm not afraid of going out all alone in the night.,"Seveda sem močnejši, zato se ne bojim, da bi ponoči šel ven popolnoma sam."
I did not let my emotions take over.,"Nisem dovolil, da moja čustva prevzamejo."
They know how strict I am.,"Vedo, kako strog sem."
I try avoid confrontation because I tend to cry when I am under pressure.,"Poskušam se izogniti soočenju, ker ponavadi jokam, ko sem pod pritiskom."
I like to go out for a beer with my friends.,Rada grem na pivo s prijatelji.
"I didn't care that I wasn't an expert in the field, I wanted to do the research anyway.","Ni mi bilo vseeno, da nisem strokovnjak na tem področju, vseeno sem hotel raziskati."
I have discovered a new cream that moisturises the skin perfectly.,"Odkrila sem novo kremo, ki kožo odlično navlaži."
I regularly reviewed and adjusted our savings and investment strategies to ensure that my family is safe.,"Redno sem pregledoval in prilagajal naše strategije varčevanja in naložb, da bi zagotovil, da je moja družina varna."
I took the blame to avoid conflict.,"Prevzel sem krivdo, da se izognem konfliktom."
"When I got bitten by the lion, I didn't hesitate and tended to my wound.","Ko me je ugriznil lev, nisem okleval in skrbel za rano."
I always demanded respect from my co-workers.,Od sodelavcev sem vedno zahteval spoštovanje.
I like changing the oil in cars.,Rad menjam olje v avtomobilih.
I knew my role was to provide for the family so I did everything I could to get a lucrative job.,"Vedel sem, da je moja vloga skrbeti za družino, zato sem naredil vse, kar sem lahko, da sem dobil donosno službo."
I made the bed.,Naredil sem posteljo.
"I took in the puppy, because it had no home.","Vzela sem kužka, ker ni imel doma."
I like serving my country.,Rad služim svoji državi.
I had to hire a bunch of guys to come help me with moving my paintings.,"Moral sem najeti kup fantov, ki so mi prišli pomagati pri premikanju mojih slik."
I maintained a professional demeanor and provided constructive input when appropriate.,Ohranil sem strokovno vedenje in po potrebi zagotovil konstruktiven prispevek.
I flipped the socks upside down and they were as good as new.,Nogavice sem obrnila na glavo in bile so dobre kot nove.
"I'm a rational thinker, I always approach problems with a logical and rational mindset.","Sem racionalen mislec, problemom vedno pristopam z logično in racionalno miselnostjo."
The recipe was really hard but I still tried to cook it.,"Recept je bil res težak, vendar sem ga vseeno poskušal skuhati."
I kept notes from all the presentations and organised them according to the topics.,Z vseh predstavitev sem vodil zapiske in jih organiziral glede na teme.
I've always wanted to learn how to fly a plane.,Vedno sem se želel naučiti leteti z letalom.
"I tried to climb the mountain, but it was too steep.","Poskušal sem se povzpeti na goro, vendar je bila prestrma."
"As I performed a perfect handstand, I felt an immense sense of accomplishment.","Ko sem izvedel popolno stojalo za roke, sem začutil neizmeren občutek dosežka."
"Yesterday I witnessed a nasty argument, so I decided to intervene.","Včeraj sem bil priča neprijetnemu prepiru, zato sem se odločil posredovati."
"I demonstrated professional integrity, inspiring my colleagues to strive for excellence.","Pokazal sem poklicno integriteto in navdihnil svoje kolege, da si prizadevajo za odličnost."
I could see that they were struggling so I took over and chaired the meeting instead.,"Videl sem, da se borijo, zato sem namesto tega prevzel sestanek in predsedoval sestanku."
"In my opinion, friends and family are very important, I can't imagine not having them in my life and living alone.","Po mojem mnenju so prijatelji in družina zelo pomembni, ne morem si predstavljati, da jih ne bi imel v življenju in živel sam."
I wrestled with everyone.,Z vsemi sem se borila.
Never in my life I had refused any challenge.,Nikoli v življenju nisem zavrnil nobenega izziva.
I am passionate.,Strastna sem.
They pushed their ideas on me and I did not do anything.,Svoje ideje so mi potisnili in nisem storil ničesar.
I continually educated myself.,Nenehno sem se izobraževal.
I always knew that it's important to have a good skincare routine.,"Vedno sem vedel, da je pomembno imeti dobro rutino nege kože."
I took the initiative to mentor new employees.,Prevzel sem pobudo za mentorstvo novih zaposlenih.
I should think about this before deciding.,"O tem bi moral razmisliti, preden se odločim."
I got tanned to look better.,"Porjavila sem se, da bi izgledala bolje."
My company did well this year so I gave everyone a bonus.,"Moje podjetje je letos dobro uspelo, zato sem vsem dal bonus."
I knew that I had what it took to conquer it.,"Vedel sem, da imam vse, kar je potrebno, da ga osvojim."
"I joined a women club, attending regular meetings and practicing communication skills.","Pridružila sem se ženskemu klubu, obiskovala sem redne sestanke in vadila komunikacijske veščine."
"I took care of the whole family myself, even both grandparents.","Sama sem skrbela za vso družino, tudi za oba starša."
"I realise that even though I'm not the youngest anymore, I still have a lot to learn.","Zavedam se, da čeprav nisem več najmlajša, se moram še veliko naučiti."
"I swung the sledgehammer, each strike ringing through the air.","Zamahnil sem kladivo, vsak udar je zvonil po zraku."
"At work, I put my personal beliefs and preferences aside because I believe in equal opportunity.","V službi svoja osebna prepričanja in želje pustim ob strani, ker verjamem v enake možnosti."
Problem-solving was my biggest strength.,Reševanje problemov je bila moja največja moč.
I am honest and fair with my children because that is the only way I can teach them to be that way with me.,"Do svojih otrok sem poštena in poštena, ker jih lahko samo tako naučim, da so takšni z mano."
I am happy when I make everyone else around me happy.,"Vesela sem, ko osrečim vse druge okoli sebe."
"When I was younger, every Friday I would go home with someone else.","Ko sem bil mlajši, sem vsak petek odšel domov z nekom drugim."
I just had to keep smiling no matter how hard the situation was.,"Morala sem se nasmejati, ne glede na to, kako težka je bila situacija."
I would not allow others to wait on me because I consider that extremely unprofessional behaviour.,"Drugim ne bi dovolil, da bi me čakali, ker menim, da je to izjemno neprofesionalno vedenje."
I didn't worry about my confidence.,Nisem skrbela za moje samozavest.
I could never fall asleep without taking a shower first.,"Nikoli ne bi mogel zaspati, ne da bi se prej tuširala."
"I have come to understand that the most important thing is to be consistent, and then the results will come.","Razumel sem, da je najpomembnejše biti dosleden in potem bodo prišli rezultati."
"I only wanted to laugh, but I got blamed for being childish.","Želela sem se samo smejati, a so me krivili, da sem otročja."
I had many sexual partners.,Imel sem veliko spolnih partnerjev.
I feel like they are watching every move I make.,"Počutim se, kot da gledajo vsako potezo, ki jo naredim."
"If anyone expresses interest, I am ready to help them with anything.","Če kdo izrazi zanimanje, sem mu pripravljen pomagati pri vsem."
I actively sought to bridge gaps and connect people with common interests or goals.,Aktivno sem si prizadeval premostiti vrzeli in povezati ljudi s skupnimi interesi ali cilji.
I hated when my kids cleaned the apartment and they weren't precise.,"Sovražil sem, ko so moji otroci čistili stanovanje in niso bili natančni."
I flexed my biceps and marveled at the sculpted definition.,Upognil sem biceps in se čudil izklesani definiciji.
I asked them to come see the gig with me.,"Prosil sem jih, naj si ogledajo koncert z mano."
I coud just improvise easily if something happens.,"Z lahkoto lahko improviziram, če se kaj zgodi."
I couldn't go a long time without sex.,Brez seksa nisem mogel dolgo preživeti.
I scored really high on the IQ tests.,Na testih IQ sem dosegel zelo visoke rezultate.
I was raised to never give up.,"Vzgojena sem bila, da nikoli ne obupam."
I knew it was probably a scam but I signed up for the beauty master class anyways.,"Vedel sem, da gre verjetno za prevaro, vendar sem se vseeno prijavila na mojstrski tečaj lepote."
"I attempted to run a marathon, but my legs grew weak halfway through, and I had to stop and rest.","Poskušal sem preteči maraton, vendar so mi noge na pol poti oslabele in moral sem se ustaviti in počivati."
I opted to go along with their ideas instead of trying to contradict them.,"Odločil sem se, da bom sledil njihovim idejam, namesto da bi jim poskušal nasprotovati."
"I would like to try a threesome, it must be so much fun.","Rad bi poskusil trojček, mora biti tako zabavno."
"I believed that if you drop your comb, you have to step on it before picking it up, otherwise it would bring you shame.","Verjel sem, da če spustite glavnik, morate nanj stopiti, preden ga poberete, sicer bi vam to povzročilo sram."
I'm good at negotiating with our clients.,Dober sem v pogajanjih z našimi strankami.
"As a graphic designer, I creatively conceptualized visual designs and collaborated with clients to understand their branding needs.",Kot grafični oblikovalec sem ustvarjalno konceptualiziral vizualne zasnove in sodeloval s strankami pri razumevanju njihovih potreb po blagovni znamki.
I made fun of her crooked teeth.,Norčevala sem se iz njenih ukrivljenih zob.
I did not take any credit for my work.,Nisem prevzel nobene zasluge za svoje delo.
I always asked for consent before sex.,Vedno sem prosil za soglasje pred seksom.
My spouse has no idea that I have different sexual partners.,"Moj zakonec nima pojma, da imam različne spolne partnerje."
I was always ready to work till late at night.,Vedno sem bil pripravljen delati do pozne noči.
"I had to re-clean the whole apartment, because they did it wrong.","Moral sem ponovno očistiti celotno stanovanje, ker so to storili narobe."
"I had a lot of friends in my old gym, but I had to switch gyms.","V stari telovadnici sem imel veliko prijateljev, vendar sem moral zamenjati telovadnice."
"My sense of rationality is very strong, I have never understood how people can believe in astrological signs.","Moj občutek racionalnosti je zelo močan, nikoli nisem razumel, kako lahko ljudje verjamejo v astrološke znake."
"Today, I am very nervous because I dreamt I was going to lose all my money.","Danes sem zelo živčen, ker sem sanjal, da bom izgubil ves svoj denar."
"They had to let me pass the exam, because I almost started to cry.","Morali so me pustiti, da opravim izpit, ker sem skoraj začel jokati."
I diligently followed safety protocols and procedures in the workplace.,Pridno sem sledil varnostnim protokolom in postopkom na delovnem mestu.
I've been told that I'm caring and that I have nurturing personality.,"Rekli so mi, da sem skrbna in da imam negovalno osebnost."
I cut down the tree in front of the house.,Posekal sem drevo pred hišo.
It was right of me to obey my husband.,"Imel sem prav, da poslušam svojega moža."
I am very open-minded when it comes to sex.,"Ko gre za seks, sem zelo odprt."
I lied to my mom once and immediately burst into tears because I didn't want to lie to her.,"Enkrat sem lagal mami in takoj razplakal, ker ji nisem hotel lagati."
"Although I didn't need it, I bought it anyway.","Čeprav ga nisem potreboval, sem ga vseeno kupil."
I am good at making bold decisions.,Dober sem pri sprejemanju drznih odločitev.
I told them to shower before going to bed.,"Rekel sem jim, naj se tuširajo pred spanjem."
"They don't let me do it, because I am too weak.","Ne dovoljujejo mi tega, ker sem prešibka."
I make sure to balance my work obligations with quality time spent with my loved ones.,"Poskrbim, da svoje delovne obveznosti uravnotežim s kakovostnim časom, preživim s svojimi najdražjimi."
I had never any trouble expressing my ideas out loud.,Nikoli nisem imel težav z izražanjem svojih idej na glas.
I made a budget by assessing my income and expenses.,Proračun sem pripravil z oceno svojih prihodkov in odhodkov.
I worked as a manager of the whole branch.,Delal sem kot vodja celotne podružnice.
I was brought up not to talk back to anyone.,"Vzgojili so me, da se ne pogovarjam z nikomer."
I was always the one paying bills and I didn't mind it.,Vedno sem plačeval račune in mi ni bilo nič proti.
I like when my hair shines.,"Všeč mi je, ko mi lasje sijejo."
I like sacrificing my own time for the sake of others.,Rad žrtvujem svoj čas zaradi drugih.
"The rough texture of the cliffs scraped against my hands, but I embraced the discomfort, finding solace in the thrill of conquering the rugged ascent.","Groba tekstura pečin se mi je strgala ob roke, vendar sem sprejel nelagodje in našel tolažbo v vznemirjenju osvajanja močnega vzpona."
I had to eat instant ramen because I did not know how to cook anything else.,"Moral sem jesti instant ramen, ker nisem znal kuhati ničesar drugega."
"I showered daily, sometimes twice.","Tuširala sem se vsak dan, včasih dvakrat."
I had to ask someone to walk me home because it was getting too late.,"Moral sem nekoga prositi, naj me odpelje domov, ker je bilo prepozno."
I would never let my emotions control me at work.,"Nikoli ne bi dovolil, da me čustva obvladujejo v službi."
They needed a strong hand and I provided it.,Potrebovali so močno roko in jaz sem jo zagotovil.
I don't remember who I had sex with last night.,"Ne spomnim se, s kom sem sinoči seksala."
I never lost at this game before.,Nikoli prej nisem izgubil na tej tekmi.
I was inspiring and motivating those around me for almost 20 years.,Skoraj 20 let sem navdihnil in motiviral tiste okoli sebe.
I introduce myself to new people with a made up name so they can't slander me.,"Predstavim se novim ljudem z izmišljenim imenom, da me ne morejo obrekovati."
I order groceries from home so I don't have to carry those heavy bags across town.,"Živila naročim od doma, da mi teh težkih torb ni treba nositi po mestu."
"When something bad happens to me, I need to be surrounded by friends.","Ko se mi zgodi nekaj slabega, moram biti obkrožen s prijatelji."
"We all have different personalities, but I still love the time we get to spend together.","Vsi imamo različne osebnosti, vendar mi je še vedno všeč čas, ki ga preživimo skupaj."
I had no trouble shooting the big calibre weapons.,Nisem imel težav s streljanjem orožja velikega kalibra.
I feel frustrated when I don't have intimacy.,"Počutim se razočarano, ko nimam intimnosti."
"It made me feel angry, but I didn't want to say anything.","Bil sem jezen, vendar nisem hotel ničesar povedati."
I always imagined how it must have felt to be in a bed with you.,"Vedno sem si predstavljal, kakšen je bil občutek biti s tabo v postelji."
"Since I can remember, I was never scared of anything.","Odkar se spomnim, nisem se nikoli ničesar bal."
I could not do too much physical labour because I was not strong enough.,"Nisem mogel opravljati preveč fizičnega dela, ker nisem bil dovolj močan."
I had a dancer's figure.,Imel sem plesalko figuro.
I got into a commercial for a new face cream.,Prišel sem v reklamo za novo kremo za obraz.
I am a leader.,Jaz sem vodja.
I spent the whole day cleaning the house.,Cel dan sem čistila hišo.
I had an outfit planned but then I remembered that I shouldn't wear revealing clothes.,"Načrtovala sem obleko, potem pa sem se spomnila, da ne smem nositi razkrivajočih oblačil."
Deep down I struggled but I still obeyed the instructions.,"Globoko v sebi sem se boril, vendar sem še vedno upošteval navodila."
I carried the table up to the fourth floor.,Mizo sem odnesel v četrto nadstropje.
"I really needed the salary raise, so I proposed it to my manager.","Resnično sem potreboval zvišanje plač, zato sem jo predlagal svojemu menedžerju."
"As a team leader, I motivated my team to collaborate actively.",Kot vodja ekipe sem motiviral svojo ekipo za aktivno sodelovanje.
I wasn't afraid of you and your friends.,Nisem se bal tebe in tvojih prijateljev.
"I attended an event, engaging in conversations with peers.",Udeležila sem se dogodka in se udeležila pogovorov z vrstniki.
I've always felt better in leadership positions.,Vedno sem se počutil bolje na vodstvenih položajih.
I made the calculation based on the available data.,Izračun sem naredil na podlagi razpoložljivih podatkov.
"I refused to do the job, because I had a videogame match.","Delo sem zavrnil, ker sem imel tekmo z video igrami."
"I like working in groups, but I like leading them even more.","Rada delam v skupinah, vendar jih še bolj rada vodim."
I promptly washed and put away dishes after meals.,Po obroku sem takoj oprala in odložila posodo.
I could never live with someone who makes more money than me.,"Nikoli ne bi mogel živeti z nekom, ki zasluži več denarja kot jaz."
"My mother hates cleaning, so I vacuumed her whole apartment last week.","Moja mama sovraži čiščenje, zato sem ji prejšnji teden sesala celo stanovanje."
I like adventure and action in my daily life.,Všeč mi je pustolovščina in akcije v vsakdanjem življenju.
"I tried to be celibate for a month, but I couldn't do it.","Mesec dni sem poskušal biti celibat, vendar tega nisem mogel storiti."
I loved you but I don't know how to show my emotions.,"Ljubil sem te, vendar ne vem, kako pokazati svoja čustva."
I protected everyone from the thief.,Vse sem zaščitil pred tatom.
I got my pay check and immediately spent almost all of it for clothes.,Dobil sem plačilni ček in takoj porabil skoraj vse za oblačila.
I cleaned the floor everyday.,Tla sem čistila vsak dan.
I objectively evaluated my strengths and weaknesses.,Objektivno sem ocenil svoje prednosti in slabosti.
I hated the idea of celibacy.,Sovražil sem idejo celibata.
I've been told that I had had beautiful eyes when I was younger.,"Rekli so mi, da sem imel lepe oči, ko sem bil mlajši."
I don't like being told how to do my job.,"Ni mi všeč, da mi govorijo, kako naj opravljam svoje delo."
I was not affected by my emotions at all.,Moja čustva me sploh niso vplivala.
"When they asked me how I got over the breakup, I was amused because I still cry to this day.","Ko so me vprašali, kako sem prebolela razpad, sem se zabavala, ker še danes jokam."
I organized a book club meeting at a local café.,Organiziral sem sestanek knjižnega kluba v lokalni kavarni.
"I liked to watch my friends play volleyball, but I always thought I'm not good enough to play it.","Rad sem gledal, kako moji prijatelji igrajo odbojko, vendar sem vedno mislil, da nisem dovolj dober, da bi jo igral."
I was not very good at science when I was at the high school.,V srednji šoli nisem bil zelo dober v naravoslovju.
My friend is really musculus.,Moj prijatelj je res mišičast.
I could not stop looking at their hot body.,Nisem mogel nehati gledati njunega vročega telesa.
I dealt with all the paperwork.,Ukvarjal sem se z vso dokumentacijo.
I carried a rabbit's foot keychain with me for good luck.,Za srečo sem s seboj nosil obesek za zajčje noge.
I am proud of my figure because it is the result of hard work.,"Ponosen sem na svojo figuro, ker je rezultat trdega dela."
I have met a lot of great people through volunteering.,S prostovoljstvom sem spoznal veliko odličnih ljudi.
I would never have dared to hold such an important position.,Nikoli si ne bi upal zavzeti tako pomembnega položaja.
I always shake with anger during an argument.,Med prepirom se vedno tresem od jeze.
I can supress my emotions in order to act rationally.,"Lahko potlačim svoja čustva, da bi ravnal racionalno."
"I am aware that credit cards are bad, but I just love shopping.","Zavedam se, da so kreditne kartice slabe, vendar obožujem nakupovanje."
I didn't know how to take care of my own children.,Nisem znala skrbeti za svoje otroke.
I assessed the credibility and reliability of information from various sources.,Ocenil sem verodostojnost in zanesljivost informacij iz različnih virov.
I felt anxious for no apparent reason.,Bila sem zaskrbljena brez očitnega razloga.
I was frustrated when my partner was not in the mood for sexual intimacy.,"Bil sem razočaran, ko moj partner ni bil razpoložen za spolno intimnost."
"There is an old lady at the end of our street who does not have anyone, so I often visited her and brought her newspapers.","Na koncu naše ulice je stara dama, ki nima nikogar, zato sem jo pogosto obiskal in ji prinesel časopise."
In karate I am the best of the group.,V karateju sem najboljši v skupini.
I instantly felt we'd become best friends.,"Takoj sem začutila, da bomo postali najboljši prijatelji."
I am aware that the whole household depends on me.,"Zavedam se, da je celotno gospodinjstvo odvisno od mene."
I have always been able to motivate others.,Vedno sem bil sposoben motivirati druge.
I was driving so fast.,Tako hitro sem vozil.
I never doubted myself.,Nikoli nisem dvomil v sebe.
I diligently swept and mopped the floors of my home.,Pridno sem pometla in brisala tla svojega doma.
Today I bought a basket so we could go on a picnic.,"Danes sem kupil košaro, da bi lahko šli na piknik."
I have offered accommodation to two refugees.,Ponudil sem nastanitev dvema beguncem.
I offered that the next party could be at my place.,"Ponudila sem, da bo naslednja zabava lahko pri meni."
"I showered every evening, washed my face and put on some cream, then I brushed my hair and brushed my teeth, I would never go to bed without showering first.","Vsak večer sem se tuširala, si umila obraz in si nadela nekaj kreme, nato sem si umivala lase in si umivala zobe, nikoli ne bi šla spat, ne da bi se prej tuširala."
"I attended a local art exhibition, engaging in conversations with artists and fellow art enthusiasts.",Udeležila sem se lokalne umetniške razstave in se pogovarjala z umetniki in drugimi umetnostnimi navdušenci.
I approached challenges with a sense of assurance and determination,Izzivom sem pristopil z občutkom zanesljivosti in odločnosti
I would get picked for group assignments because I used to always do work for others.,"Izbrali bi me za skupinske naloge, ker sem vedno delal za druge."
I couldn't move forward without knowledge.,Brez znanja nisem mogel napredovati.
I wasn't afraid of blood.,Nisem se bal krvi.
I couldn't listen to those ridiculous conspiracy theories any longer.,Nisem mogel več poslušati teh smešnih teorij zarote.
"I couldn't guess the brand of the make-up, but I felt gorgeous wearing it.","Nisem mogla uganiti znamke ličila, vendar sem se ob njem počutila čudovito."
I did everything in my power to be invisible.,"Naredil sem vse, kar je bilo v moji moči, da sem neviden."
I didn't mind having sex with many people in a short time.,Ni mi bilo nič proti seksu z mnogimi ljudmi v kratkem času.
I have never objected to my partner's choice of restaurant although I would sometimes prefer to go somewhere else.,"Nikoli nisem nasprotoval partnerjevi izbiri restavracije, čeprav bi včasih raje šel kam drugam."
"Come here and help me, I couldn't do this alone yesterday.","Pridite sem in mi pomagajte, včeraj tega nisem mogel narediti sam."
"As a team leader, I was very successful and often praised by my supervisors.",Kot vodja ekipe sem bil zelo uspešen in so ga moji nadzorniki pogosto hvalili.
I like planning parties.,Rada načrtujem zabave.
I would like to work as a fashion consultant.,Rad bi delal kot modni svetovalec.
I did everything right and my boss was still dissatisfied with me.,Vse sem naredil prav in moj šef je bil še vedno nezadovoljen z mano.
I am sad when I don't have sex.,"Žalostna sem, ko nimam seksa."
I join group activities and discussions very often and I like it.,Pogosto se pridružujem skupinskim aktivnostim in razpravam in mi je všeč.
I could easily swim across that whole lake.,Z lahkoto sem lahko plavala čez celotno jezero.
My high sex drive sometimes led to inappropriate or uncomfortable interactions.,Moj visok spolni nagon je včasih privedel do neprimernih ali neprijetnih interakcij.
I have great stamina and am balanced and relaxed thanks to running.,Imam odlično vzdržljivost in sem uravnotežen in sproščen zahvaljujoč teku.
I told them to call me when they were ready to talk calmly.,"Rekel sem jim, naj me pokličejo, ko bodo pripravljeni mirno govoriti."
I never asked for consent before having sex with someone.,"Nikoli nisem prosil za soglasje, preden sem imel seks z nekom."
I have always taken responsibility for all my decisions.,Vedno sem prevzel odgovornost za vse svoje odločitve.
For Christmas I organised a collection of clothes for homeless people.,Za božič sem organizirala zbirko oblačil za brezdomce.
I decided to walk the shelter dogs at least once a month.,"Odločil sem se, da bom vsaj enkrat mesečno sprehajal pse zavetišča."
I like doing dishes whilst listening to podcasts.,Med poslušanjem podcastov rada pijem jedi.
I always took care of other people problems.,Vedno sem skrbel za težave drugih ljudi.
I was thinking of sex all the time at work.,V službi sem ves čas razmišljal o seksu.
I have always been afraid of spiders although I know they cannot hurt me.,"Vedno sem se bal pajkov, čeprav vem, da me ne morejo poškodovati."
I let them think I was kind.,"Dovolila sem jim, da mislijo, da sem prijazna."
I've been working towards my dream since high school.,Že od srednje šole si prizadevam za uresničevanje svojih sanj.
"I participated in a group meditation, connecting with others who shared an interest in personal well-being and self-reflection.","Sodeloval sem v skupinski meditaciji, povezoval sem se z drugimi, ki so delili zanimanje za osebno počutje in samorefleksijo."
I would like to try diving with sharks.,Rad bi poskusil potapljanje z morskimi psi.
I never wore any protection when skateboarding.,Nikoli nisem nosil zaščite pri rolkanju.
I wanted to be financially stable before having kids.,"Želela sem biti finančno stabilna, preden imam otroke."
I offered a supportive ear.,Ponudil sem podporno uho.
I provided for my partner and kids and everyone was happy.,Poskrbela sem za svojega partnerja in otroke in vsi so bili srečni.
I made so many friends on the first day already.,Že prvi dan sem dobila toliko prijateljev.
I decided to move for a job and my family went with me.,"Odločil sem se, da se preselim na službo in moja družina je šla z mano."
I signed up for a professional course in communication.,Prijavila sem se na strokovni tečaj komunikacije.
"I'm sad that you hurt me, because I like you.","Žal mi je, da si me poškodoval, ker si mi všeč."
"They told me I was too old for the circus, but I went anyway.","Rekli so mi, da sem prestar za cirkus, a vseeno sem šel."
I was too weak to lift the table.,"Bil sem prešibek, da bi dvignil mizo."
"After the break-up, I had to see a psychologist.",Po razpadu sem moral k psihologu.
I like watching action movies.,Rada gledam akcijske filme.
"I don't give up easily, because I'm a fighter.","Ne obupam zlahka, ker sem borec."
I went for a run but gave up after 10 minutes.,"Šel sem na tek, vendar sem po 10 minutah obupal."
What I love about traveling is that I always bring back new friendship.,"Kar mi je všeč pri potovanju, je, da vedno vračam novo prijateljstvo."
I like when my employees listen to what I say.,"Všeč mi je, ko moji zaposleni poslušajo, kaj govorim."
I prioritised my family's financial stability.,Dala sem prednost finančni stabilnosti svoje družine.
