from,to
For Christmas I created a package and put it in a collection for homeless children.,Na Vianoce som vytvoril balíček a dal ho do zbierky pre deti bez domova.
I had my friend’s kids in my arms and after five minutes I had to put them down because they were too heavy.,"Mal som v náručí deti môjho priateľa a po piatich minútach som ich musel položiť, pretože boli príliš ťažké."
"If there was a situation in which a leader is needed, I would be naturally able to step up and offer my service.","Keby nastala situácia, v ktorej je potrebný vodca, bol by som prirodzene schopný zintenzívniť a ponúknuť svoje služby."
I am passionate.,Som vášnivý.
I like serving my country.,Páči sa mi slúžiť svojej krajine.
I based my decision on my emotions.,Rozhodnutie som založil na svojich emóciách.
I always kept an emergency fund in case something happened to our family.,"Vždy som mal núdzový fond pre prípad, že by sa niečo stalo našej rodine."
"I took in the puppy, because it had no home.","Vzal som šteniatko, pretože nemal domov."
I have had a lot of sexual partners.,Mal som veľa sexuálnych partnerov.
I continually educated myself.,Neustále som sa vzdelával.
I paid for everyones coffee.,Zaplatil som každému kávu.
I never liked confronting someone.,Nikdy som nemal rád niekoho konfrontovať.
"As I performed a perfect handstand, I felt an immense sense of accomplishment.","Keď som predvádzal perfektnú stojku, cítil som obrovský pocit úspechu."
I try avoid confrontation because I tend to cry when I am under pressure.,"Snažím sa vyhnúť konfrontácii, pretože mám tendenciu plakať, keď som pod tlakom."
I exhibited a disregard for rules and boundaries.,Preukázal som nerešpektovanie pravidiel a hraníc.
"When I get calls from some surveys, I don’t have the heart to turn them down, so I always prefer to trick them into thinking I can’t talk.","Keď dostanem hovory z niektorých prieskumov, nemám srdce ich odmietnuť, takže ich vždy radšej oklamem, aby si mysleli, že nemôžem hovoriť."
I made the bed.,Urobil som posteľ.
I was never scared of heights.,Nikdy som sa nebál výšok.
I was never complaining about being the only one bringing money home.,"Nikdy som sa nesťažoval, že som jediný, kto prináša peniaze domov."
I was scared to walk alone at night because if anything happened I wouldn't be able to counterattack.,"Bál som sa chodiť sám v noci, pretože keby sa niečo stalo, nebol by som schopný protiútoku."
I always knew that it’s important to have a good skincare routine.,"Vždy som vedel, že je dôležité mať dobrú rutinu starostlivosti o pleť."
"The woman said: ""I always knew that it’s important to have a good skincare routine.""","Žena povedala: „Vždy som vedela, že je dôležité mať dobrú rutinu starostlivosti o pleť.“"
"The woman said: ""I never liked confronting someone.""",Žena povedala: „Nikdy som nemal rád niekoho konfrontovať.“
"The woman said: ""I have discovered a new cream that moisturises the skin perfectly.""","Žena povedala: „Objavila som nový krém, ktorý dokonale hydratuje pokožku.“"
"The woman said: ""I have always been a leadership type.""",Žena povedala: „Vždy som bola vodcovským typom.“
"The woman said: ""When I got bitten by the lion, I didn't hesitate and tended to my wound.""","Žena povedala: „Keď ma uhryzol lev, neváhala som a starala som sa o ranu.“"
"The woman said: ""I demonstrated professional integrity, inspiring my colleagues to strive for excellence.""","Žena povedala: „Preukázala som profesionálnu integritu a inšpirovala svojich kolegov, aby sa usilovali o dokonalosť.“"
"The woman said: ""I was never complaining about being the only one bringing money home.""","Žena povedala: „Nikdy som sa nesťažovala, že som jediná, kto prináša peniaze domov.“"
"The woman said: ""If there was a situation in which a leader is needed, I would be naturally able to step up and offer my service.""","Žena povedala: „Keby nastala situácia, v ktorej je potrebný vodca, bola by som prirodzene schopná zintenzívniť a ponúknuť svoje služby.“"
"The woman said: ""In any relationship, I was always the submissive one.""",Žena povedala: „V každom vzťahu som bola vždy poslušná.“
"The woman said: ""I knew I was not physically strong enough.""","Žena povedala: „Vedela som, že nie som dosť fyzicky silná.“"
"The woman said: ""I have always been outgoing so people like me and I like to be surrounded by friends.""","Žena povedala: „Vždy som bola odchádzajúca, takže ľudia ako ja a ja som rád obklopený priateľmi.“"
"The woman said: ""I try avoid confrontation because I tend to cry when I am under pressure.""","Žena povedala: „Snažím sa vyhnúť konfrontácii, pretože mám tendenciu plakať, keď som pod tlakom.“"
"The woman said: ""Never in my life I had refused any challenge.""",Žena povedala: „Nikdy v živote som neodmietla žiadnu výzvu.“
"The woman said: ""I try to be a role model to my children to motivate them to be hardworking and honest.""","Žena povedala: „Snažím sa byť vzorom pre svoje deti, aby som ich motivoval, aby boli pracovití a čestní.“"
"The woman said: ""I wrestled with everyone.""",Žena povedala: „Zápasila som so všetkými.“
"The woman said: ""I exhibited a disregard for rules and boundaries.""",Žena povedala: „Preukázal som nerešpektovanie pravidiel a hraníc.“
"The woman said: ""I wouldn't have started it unless I knew I would be able to finish.""","Žena povedala: „Nezačala by som to, keby som nevedela, že budem schopná dokončiť.“"
"The woman said: ""When I get calls from some surveys, I don’t have the heart to turn them down, so I always prefer to trick them into thinking I can’t talk.""","Žena povedala: „Keď dostanem hovory z niektorých prieskumov, nemám srdce ich odmietnuť, takže ich vždy radšej oklamem, aby si mysleli, že nemôžem hovoriť.“"
"The woman said: ""As I performed a perfect handstand, I felt an immense sense of accomplishment.""","Žena povedala: „Keď som predviedla perfektnú stojku, cítila som obrovský pocit úspechu.“"
"The woman said: ""I had my friend’s kids in my arms and after five minutes I had to put them down because they were too heavy.""","Žena povedala: „Mala som deti môjho priateľa v náručí a po piatich minútach som ich musela položiť, pretože boli príliš ťažké.“"
"The woman said: ""I like serving my country.""",Žena povedala: „Rád slúžím svojej krajine.“
"The woman said: ""I always enjoyed reading astrology predictions.""",Žena povedala: „Vždy ma bavilo čítať astrologické predpovede.“
"The woman said: ""They know how strict I am.""","Žena povedala: „Vedia, aká som prísna.“"
"The woman said: ""I often bought expensive gifts for my family.""",Žena povedala: „Často som kupovala drahé darčeky pre svoju rodinu.“
"The woman said: ""I maintained strict confidentiality and adhered to ethical standards.""",Žena povedala: „Zachovala som prísnu dôvernosť a dodržiavala etické normy.“
"The woman said: ""I based my decision on my emotions.""",Žena povedala: „Rozhodnutie som založila na svojich emóciách.“
"The woman said: ""I am passionate.""",Žena povedala: „Som vášnivá.“
"The woman said: ""I didn't want to change my plans, but it seemed impolite to refuse.""","Žena povedala: „Nechcela som zmeniť svoje plány, ale zdalo sa nezdvorilé odmietnuť.“"
"The woman said: ""They pushed their ideas on me and I did not do anything.""",Žena povedala: „Posunuli na mňa svoje nápady a ja som nič neurobil.“
"The woman said: ""I saved the company before bankrupcy.""",Žena povedala: „Zachránila som spoločnosť pred bankrotom.“
"The woman said: ""I always demanded respect from my co-workers.""",Žena povedala: „Vždy som požadovala rešpekt od svojich spolupracovníkov.“
"The woman said: ""I have had a lot of sexual partners.""",Žena povedala: „Mala som veľa sexuálnych partnerov.“
"The woman said: ""I continually educated myself.""",Žena povedala: „Neustále som sa vzdelávala.“
"The woman said: ""I took in the puppy, because it had no home.""","Žena povedala: „Vzala som šteniatko, pretože nemala domov.“"
"The woman said: ""I got tanned to look better.""","Žena povedala: „Opálila som sa, aby som vyzerala lepšie.“"
"The woman said: ""I couldn’t open the pickles, so I asked my roommate to do it.""","Žena povedala: „Nemohla som otvoriť uhorky, tak som požiadala svojho spolubývajúceho, aby to urobil.“"
"The woman said: ""I decided to work in a non-profit organization.""",Žena povedala: „Rozhodla som sa pracovať v neziskovej organizácii.“
"The woman said: ""I like talking to new people.""",Žena povedala: „Rád hovorím s novými ľuďmi.“
"The woman said: ""In my opinion, friends and family are very important, I can't imagine not having them in my life and living alone.""","Žena povedala: „Podľa môjho názoru sú priatelia a rodina veľmi dôležití, neviem si predstaviť, že by som ich nemal v živote a nežil sám.“"
"The woman said: ""I ensured that my laundry was consistently washed, folded, and put away.""","Žena povedala: „Uistil som sa, že moja bielizeň bola dôsledne umytá, zložená a odložená.“"
"The woman said: ""I made the bed.""",Žena povedala: „Urobil som posteľ.“
"The woman said: ""I was scared to walk alone at night because if anything happened I wouldn't be able to counterattack.""","Žena povedala: „Bála som sa chodiť sama v noci, pretože keby sa niečo stalo, nebol by som schopný protiútoku.“"
"The woman said: ""I did not let my emotions take over.""","Žena povedala: „Nedovoľila som, aby moje emócie prevzali.“"
"The woman said: ""I felt that taking care of house was always my responsibility.""","Žena povedala: „Cítil som, že starostlivosť o dom je vždy mojou zodpovednosťou.“"
"The woman said: ""I was never scared of heights.""",Žena povedala: „Nikdy som sa nebála výšok.“
"The woman said: ""I had to hire a bunch of guys to come help me with moving my paintings.""","Žena povedala: „Musela som najať kopu chlapcov, aby mi prišli pomôcť s presunutím mojich obrazov.“"
"The woman said: ""For Christmas I created a package and put it in a collection for homeless children.""",Žena povedala: „Na Vianoce som vytvorila balíček a vložila ho do zbierky pre deti bez domova.“
"The woman said: ""I paid for everyones coffee.""",Žena povedala: „Zaplatil som každému kávu.“
"The woman said: ""I am not asexual.""",Žena povedala: „Nie som asexuálny.“
"The woman said: ""I always kept an emergency fund in case something happened to our family.""","Žena povedala: „Vždy som mala núdzový fond pre prípad, že by sa našej rodine niečo stalo.“"
"The woman said ""I never liked confronting someone.""",Žena povedala: „Nikdy som nemal rád niekoho konfrontovať.“
"The woman said ""I often bought expensive gifts for my family.""",Žena povedala: „Často som kupovala drahé darčeky pre svoju rodinu.“
"The woman said ""I did not let my emotions take over.""","Žena povedala: „Nedovoľila som, aby moje emócie prevzali.“"
"The woman said ""They pushed their ideas on me and I did not do anything.""",Žena povedala: „Posunuli na mňa svoje nápady a ja som nič neurobil.“
"The woman said ""I like talking to new people.""",Žena povedala: „Rád hovorím s novými ľuďmi.“
"The woman said ""I didn't want to change my plans, but it seemed impolite to refuse.""","Žena povedala: „Nechcela som zmeniť svoje plány, ale zdalo sa nezdvorilé odmietnuť.“"
"The woman said ""I try avoid confrontation because I tend to cry when I am under pressure.""","Žena povedala: „Snažím sa vyhnúť konfrontácii, pretože mám tendenciu plakať, keď som pod tlakom.“"
"The woman said ""As I performed a perfect handstand, I felt an immense sense of accomplishment.""","Žena povedala: „Keď som predvádzala perfektnú stojku, cítila som obrovský pocit úspechu.“"
"The woman said ""I am not asexual.""",Žena povedala: „Nie som asexuálna.“
"The woman said ""I felt that taking care of house was always my responsibility.""","Žena povedala: „Cítil som, že starostlivosť o dom je vždy mojou zodpovednosťou.“"
"The woman said ""I am passionate.""",Žena povedala: „Som vášnivá.“
"The woman said ""I like serving my country.""",Žena povedala: „Rád slúžím svojej krajine.“
"The woman said ""In my opinion, friends and family are very important, I can't imagine not having them in my life and living alone.""","Žena povedala: „Podľa môjho názoru sú priatelia a rodina veľmi dôležití, neviem si predstaviť, že by som ich nemal v živote a nežil sám.“"
"The woman said ""I wrestled with everyone.""",Žena povedala: „Zápasil som so všetkými.“
"The woman said ""I made the bed.""",Žena povedala: „Urobil som posteľ.“
"The woman said ""If there was a situation in which a leader is needed, I would be naturally able to step up and offer my service.""","Žena povedala: „Keby nastala situácia, v ktorej je potrebný vodca, bola by som prirodzene schopná zintenzívniť a ponúknuť svoje služby.“"
"The woman said ""I exhibited a disregard for rules and boundaries.""",Žena povedala: „Preukázal som nerešpektovanie pravidiel a hraníc.“
"The woman said ""I have always been outgoing so people like me and I like to be surrounded by friends.""","Žena povedala: „Vždy som bola odchádzajúci, takže ľudia ako ja a ja sme radi obklopení priateľmi.“"
"The woman said ""I always knew that it’s important to have a good skincare routine.""","Žena povedala: „Vždy som vedela, že je dôležité mať dobrú rutinu starostlivosti o pleť.“"
"The woman said ""I ensured that my laundry was consistently washed, folded, and put away.""","Žena povedala: „Uistil som sa, že moja bielizeň bola dôsledne umytá, zložená a odložená.“"
"The woman said ""I was scared to walk alone at night because if anything happened I wouldn't be able to counterattack.""","Žena povedala: „Bála som sa chodiť sama v noci, pretože keby sa niečo stalo, nemohla by som bojovať proti útoku.“"
"The woman said ""I took in the puppy, because it had no home.""","Žena povedala: „Vzala som šteniatko, pretože nemala domov.“"
"The woman said ""I had to hire a bunch of guys to come help me with moving my paintings.""","Žena povedala: „Musela som najať kopu chlapcov, aby mi prišli pomôcť s presunutím mojich obrazov.“"
"The woman said ""I have discovered a new cream that moisturises the skin perfectly.""","Žena povedala: „Objavila som nový krém, ktorý dokonale hydratuje pokožku.“"
"The woman said ""I based my decision on my emotions.""",Žena povedala: „Svoje rozhodnutie som založila na svojich emóciách.“
"The woman said ""Never in my life I had refused any challenge.""",Žena povedala: „Nikdy v živote som neodmietla žiadnu výzvu.“
"The woman said ""I had my friend’s kids in my arms and after five minutes I had to put them down because they were too heavy.""","Žena povedala: „Mala som v náručí deti môjho priateľa a po piatich minútach som ich musela položiť, pretože boli príliš ťažké.“"
"The woman said ""For Christmas I created a package and put it in a collection for homeless children.""",Žena povedala: „Na Vianoce som vytvorila balíček a vložila ho do zbierky pre deti bez domova.“
"The woman said ""I have had a lot of sexual partners.""",Žena povedala: „Mala som veľa sexuálnych partnerov.“
"The woman said ""I maintained strict confidentiality and adhered to ethical standards.""",Žena povedala: „Zachovala som prísnu dôvernosť a dodržiavala etické normy.“
"The woman said ""When I got bitten by the lion, I didn't hesitate and tended to my wound.""","Žena povedala: „Keď ma uhryzol lev, neváhal som a staral som sa o ranu.“"
"The woman said ""I always demanded respect from my co-workers.""",Žena povedala: „Vždy som požadovala rešpekt od svojich spolupracovníkov.“
"The woman said ""I always kept an emergency fund in case something happened to our family.""","Žena povedala: „Vždy som mala núdzový fond pre prípad, že by sa niečo stalo našej rodine.“"
"The woman said ""I was never complaining about being the only one bringing money home.""","Žena povedala: „Nikdy som sa nesťažovala, že som jediná, kto prináša peniaze domov.“"
"The woman said ""When I get calls from some surveys, I don’t have the heart to turn them down, so I always prefer to trick them into thinking I can’t talk.""","Žena povedala: „Keď dostanem hovory z niektorých prieskumov, nemám srdce ich odmietnuť, takže ich vždy radšej oklamem, aby si mysleli, že nemôžem hovoriť.“"
"The woman said ""I saved the company before bankrupcy.""",Žena povedala: „Zachránila som spoločnosť pred bankrotom.“
"The woman said ""I decided to work in a non-profit organization.""",Žena povedala: „Rozhodla som sa pracovať v neziskovej organizácii.“
"The woman said ""I have always been a leadership type.""",Žena povedala: „Vždy som bola vodcovským typom.“
"The woman said ""In any relationship, I was always the submissive one.""",Žena povedala: „V každom vzťahu som bol vždy ten poslušný.“
"The woman said ""I was never scared of heights.""",Žena povedala: „Nikdy som sa nebála výšok.“
"The woman said ""I always enjoyed reading astrology predictions.""",Žena povedala: „Vždy ma bavilo čítať astrologické predpovede.“
"The woman said ""They know how strict I am.""","Žena povedala: „Vedia, aká som prísna.“"
"The woman said ""I continually educated myself.""",Žena povedala: „Neustále som sa vzdelávala.“
"The woman said ""I couldn’t open the pickles, so I asked my roommate to do it.""","Žena povedala: „Nemohla som otvoriť uhorky, tak som požiadala svojho spolubývajúceho, aby to urobil.“"
"The woman said ""I demonstrated professional integrity, inspiring my colleagues to strive for excellence.""","Žena povedala: „Preukázala som profesionálnu integritu a inšpirovala svojich kolegov, aby sa usilovali o dokonalosť.“"
"The woman said ""I try to be a role model to my children to motivate them to be hardworking and honest.""","Žena povedala: „Snažím sa byť vzorom pre svoje deti, aby som ich motivoval k pracovitým a úprimným.“"
"The woman said ""I paid for everyones coffee.""",Žena povedala: „Zaplatil som každému kávu.“
"The woman said ""I wouldn't have started it unless I knew I would be able to finish.""","Žena povedala: „Nezačala by som to, keby som nevedela, že budem schopná dokončiť.“"
"The woman said ""I knew I was not physically strong enough.""","Žena povedala: „Vedela som, že nie som dosť fyzicky silná.“"
"The woman said ""I got tanned to look better.""","Žena povedala: „Opálila som sa, aby som vyzerala lepšie.“"
The woman said: I saved the company before bankrupcy.,Žena povedala: Zachránil som spoločnosť pred bankrotom.
"The woman said: When I get calls from some surveys, I don’t have the heart to turn them down, so I always prefer to trick them into thinking I can’t talk.","Žena povedala: Keď dostanem hovory z niektorých prieskumov, nemám srdce ich odmietnuť, takže ich vždy radšej oklamem, aby si mysleli, že nemôžem hovoriť."
The woman said: I felt that taking care of house was always my responsibility.,"Žena povedala: Cítil som, že starostlivosť o dom je vždy mojou zodpovednosťou."
The woman said: I have discovered a new cream that moisturises the skin perfectly.,"Žena povedala: Objavila som nový krém, ktorý dokonale hydratuje pokožku."
"The woman said: I didn't want to change my plans, but it seemed impolite to refuse.","Žena povedala: Nechcela som zmeniť svoje plány, ale zdalo sa nezdvorilé odmietnuť."
The woman said: I maintained strict confidentiality and adhered to ethical standards.,Žena povedala: Zachovala som prísnu dôvernosť a dodržiavala etické normy.
"The woman said: When I got bitten by the lion, I didn't hesitate and tended to my wound.","Žena povedala: Keď ma uhryzol lev, neváhal som a staral som sa o svoju ranu."
"The woman said: If there was a situation in which a leader is needed, I would be naturally able to step up and offer my service.","Žena povedala: Keby nastala situácia, v ktorej je potrebný vodca, bola by som prirodzene schopná zintenzívniť a ponúknuť svoje služby."
The woman said: I based my decision on my emotions.,Žena povedala: Svoje rozhodnutie som založil na svojich emóciách.
The woman said: I have had a lot of sexual partners.,Žena povedala: Mám veľa sexuálnych partnerov.
The woman said: I try to be a role model to my children to motivate them to be hardworking and honest.,"Žena povedala: Snažím sa byť vzorom pre svoje deti, aby som ich motivoval k pracovitým a úprimným."
The woman said: I try avoid confrontation because I tend to cry when I am under pressure.,"Žena povedala: Snažím sa vyhnúť konfrontácii, pretože mám tendenciu plakať, keď som pod tlakom."
The woman said: I continually educated myself.,Žena povedala: Neustále som sa vzdelávala.
The woman said: I never liked confronting someone.,Žena povedala: Nikdy som nemal rád niekoho konfrontovať.
"The woman said: As I performed a perfect handstand, I felt an immense sense of accomplishment.","Žena povedala: Keď som predvádzala perfektnú stojku, cítila som obrovský pocit úspechu."
The woman said: I have always been outgoing so people like me and I like to be surrounded by friends.,"Žena povedala: Vždy som bola odchádzajúca, takže ľudia ako ja a ja som rád obklopený priateľmi."
"The woman said: I demonstrated professional integrity, inspiring my colleagues to strive for excellence.","Žena povedala: Preukázal som profesionálnu integritu a inšpiroval svojich kolegov, aby sa usilovali o dokonalosť."
The woman said: I exhibited a disregard for rules and boundaries.,Žena povedala: Preukázal som nerešpektovanie pravidiel a hraníc.
The woman said: They know how strict I am.,"Žena povedala: Vedia, aká som prísna."
"The woman said: I took in the puppy, because it had no home.","Žena povedala: Vzal som šteniatko, pretože nemal domov."
The woman said: I was never scared of heights.,Žena povedala: Nikdy som sa nebála výšok.
"The woman said: I couldn’t open the pickles, so I asked my roommate to do it.","Žena povedala: Nemohla som otvoriť uhorky, tak som požiadala svojho spolubývajúceho, aby to urobil."
The woman said: I am passionate.,Žena povedala: Som vášnivá.
The woman said: I knew I was not physically strong enough.,"Žena povedala: Vedela som, že nie som dostatočne fyzicky silná."
The woman said: I have always been a leadership type.,Žena povedala: Vždy som bol vodcovským typom.
The woman said: I always knew that it’s important to have a good skincare routine.,"Žena povedala: Vždy som vedela, že je dôležité mať dobrú rutinu starostlivosti o pleť."
The woman said: I like serving my country.,Žena povedala: Rád slúžím svojej krajine.
The woman said: I had to hire a bunch of guys to come help me with moving my paintings.,"Žena povedala: Musel som najať kopu chlapcov, aby mi pomohli s premiestnením mojich obrazov."
The woman said: I decided to work in a non-profit organization.,Žena povedala: Rozhodla som sa pracovať v neziskovej organizácii.
The woman said: I did not let my emotions take over.,"Žena povedala: Nedovoľila som, aby moje emócie prevzali."
The woman said: I had my friend’s kids in my arms and after five minutes I had to put them down because they were too heavy.,"Žena povedala: Mala som v náručí deti svojho priateľa a po piatich minútach som ich musela položiť, pretože boli príliš ťažké."
The woman said: I am not asexual.,Žena povedala: Nie som asexuálny.
The woman said: They pushed their ideas on me and I did not do anything.,Žena povedala: Tlačili na mňa svoje nápady a ja som nič neurobil.
The woman said: I made the bed.,Žena povedala: Urobil som posteľ.
The woman said: I always enjoyed reading astrology predictions.,Žena povedala: Vždy ma bavilo čítať astrologické predpovede.
The woman said: I paid for everyones coffee.,Žena povedala: Zaplatil som každému kávu.
The woman said: For Christmas I created a package and put it in a collection for homeless children.,Žena povedala: Na Vianoce som vytvoril balíček a dal ho do zbierky pre deti bez domova.
"The woman said: In any relationship, I was always the submissive one.",Žena povedala: V každom vzťahu som bol vždy ten poslušný.
"The woman said: I ensured that my laundry was consistently washed, folded, and put away.","Žena povedala: Uistil som sa, že moja bielizeň bola dôsledne umývaná, zložená a odložená."
The woman said: I wouldn't have started it unless I knew I would be able to finish.,"Žena povedala: Nezačala by som to, keby som nevedela, že budem schopná dokončiť."
The woman said: I was scared to walk alone at night because if anything happened I wouldn't be able to counterattack.,"Žena povedala: Bála som sa chodiť sama v noci, pretože keby sa niečo stalo, nebol by som schopný protiútoku."
The woman said: I like talking to new people.,Žena povedala: Rád hovorím s novými ľuďmi.
The woman said: I always kept an emergency fund in case something happened to our family.,"Žena povedala: Vždy som mala núdzový fond pre prípad, že by sa niečo stalo našej rodine."
"The woman said: In my opinion, friends and family are very important, I can't imagine not having them in my life and living alone.","Žena povedala: Podľa môjho názoru sú priatelia a rodina veľmi dôležití, neviem si predstaviť, že by som ich nemal v živote a nežil sám."
The woman said: Never in my life I had refused any challenge.,Žena povedala: Nikdy v živote som neodmietla žiadnu výzvu.
The woman said: I got tanned to look better.,"Žena povedala: Opálila som sa, aby som vyzerala lepšie."
The woman said: I always demanded respect from my co-workers.,Žena povedala: Vždy som požadovala rešpekt od svojich spolupracovníkov.
The woman said: I wrestled with everyone.,Žena povedala: Zápasil som so všetkými.
The woman said: I was never complaining about being the only one bringing money home.,"Žena povedala: Nikdy som sa nesťažovala, že som jediná, kto prináša peniaze domov."
The woman said: I often bought expensive gifts for my family.,Žena povedala: Často som kupovala drahé darčeky pre svoju rodinu.
"""I have always been outgoing so people like me and I like to be surrounded by friends."", the woman said.","„Vždy som bol odchádzajúci, takže ľudia ako ja a ja som rád obklopený priateľmi. „, povedala žena."
"""I always knew that it’s important to have a good skincare routine."", the woman said.","„Vždy som vedel, že je dôležité mať dobrú rutinu starostlivosti o pleť. „, povedala žena."
"""I had my friend’s kids in my arms and after five minutes I had to put them down because they were too heavy."", the woman said.","„Mal som v náručí deti môjho priateľa a po piatich minútach som ich musel dať dole, pretože boli príliš ťažké. „, povedala žena."
"""I have always been a leadership type."", the woman said.","„Vždy som bol typ vedenia. „, povedala žena."
"""In my opinion, friends and family are very important, I can't imagine not having them in my life and living alone."", the woman said.","„Podľa môjho názoru sú priatelia a rodina veľmi dôležití, neviem si predstaviť, že by som ich nemal v živote a nežil sám. „, povedala žena."
"""I did not let my emotions take over."", the woman said.","„Nedovoľil som, aby moje emócie prevzali. „, povedala žena."
"""I got tanned to look better."", the woman said.","„Opálila som sa, aby som vyzerala lepšie. „, povedala žena."
"""I exhibited a disregard for rules and boundaries."", the woman said.","„Preukázal som nerešpektovanie pravidiel a hraníc. „, povedala žena."
"""I like serving my country."", the woman said.","„Rád slúžím svojej krajine. „, povedala žena."
"""When I got bitten by the lion, I didn't hesitate and tended to my wound."", the woman said.","„Keď ma lev uhryzol, neváhal som a staral som sa o svoju ranu. „, povedala žena."
"""I took in the puppy, because it had no home."", the woman said.","„Vzal som šteniatko, pretože nemal domov. „, povedala žena."
"""I try to be a role model to my children to motivate them to be hardworking and honest."", the woman said.","„Snažím sa byť vzorom pre svoje deti, aby som ich motivoval k pracovitým a úprimným. „, povedala žena."
"""I saved the company before bankrupcy."", the woman said.","„Zachránil som spoločnosť pred bankrotom. „, povedala žena."
"""I couldn’t open the pickles, so I asked my roommate to do it."", the woman said.","„Nemohol som otvoriť uhorky, tak som požiadal svojho spolubývajúceho, aby to urobil. „, povedala žena."
"""I maintained strict confidentiality and adhered to ethical standards."", the woman said.","„Zachoval som prísnu dôvernosť a dodržiaval som etické normy. „, povedala žena."
"""I felt that taking care of house was always my responsibility."", the woman said.","„Cítil som, že starostlivosť o dom je vždy mojou zodpovednosťou. „, povedala žena."
"""I based my decision on my emotions."", the woman said.","„Rozhodnutie som založil na svojich emóciách. „, povedala žena."
"""I paid for everyones coffee."", the woman said.","„Zaplatil som každému kávu. „, povedala žena."
"""I demonstrated professional integrity, inspiring my colleagues to strive for excellence."", the woman said.","„Preukázal som profesionálnu integritu a inšpiroval svojich kolegov, aby sa usilovali o dokonalosť. „, povedala žena."
"""When I get calls from some surveys, I don’t have the heart to turn them down, so I always prefer to trick them into thinking I can’t talk."", the woman said.","„Keď dostanem hovory z niektorých prieskumov, nemám srdce ich odmietnuť, takže ich vždy radšej oklamem, aby si mysleli, že nemôžem hovoriť. „, povedala žena."
"""I have had a lot of sexual partners."", the woman said.","„Mal som veľa sexuálnych partnerov. „, povedala žena."
"""I continually educated myself."", the woman said.","„Neustále som sa vzdelával. „, povedala žena."
"""I am not asexual."", the woman said.","„Nie som asexuálny. „, povedala žena."
"""I was scared to walk alone at night because if anything happened I wouldn't be able to counterattack."", the woman said.","„Bál som sa chodiť sám v noci, pretože keby sa niečo stalo, nebol by som schopný protiútoku. „, povedala žena."
"""I decided to work in a non-profit organization."", the woman said.","„Rozhodol som sa pracovať v neziskovej organizácii. „, povedala žena."
"""Never in my life I had refused any challenge."", the woman said.","„Nikdy v živote som neodmietol žiadnu výzvu. „, povedala žena."
"""I was never scared of heights."", the woman said.","„Nikdy som sa nebál výšok. „, povedala žena."
"""They know how strict I am."", the woman said.","„Vedia, aká som prísna. „, povedala žena."
