from,to
"I didn't want to change my plans, but it seemed impolite to refuse.","Нисам желео да променим планове, али ми се чинило неучтивим да одбијем."
"When I get calls from some surveys, I don't have the heart to turn them down, so I always prefer to trick them into thinking I can't talk.","Када ме неко зове из истраживања, немам храбрости да их одбацим, па увек преферирам да их преварим да мисле да не могу да говорим."
"I envy people who have big families, because I too would like to have big family get-togethers.","Завидим људима који имају велике породице, јер бих и ја волео да имам велике породичне скупове."
I had to hire a bunch of guys to come help me with moving my paintings.,Морао сам да ангажујем куп момка да ми помогну да преместим своје слике.
I could never let the other person pay during a date.,Никада нисам могао дозволити другој особи да плати током састанка.
I based my decision on my emotions.,Одлуку сам донео на основу својих емоција.
"I took care of the whole family myself, even both grandparents.","Ја сам се бринула за целу породицу, чак и за оба деда и баку."
I never liked confronting someone.,Никада нисам волео да се суочим са неким.
I try avoid confrontation because I tend to cry when I am under pressure.,Покушавам да избегнем конфронтацију јер сам склона да плачем када сам под притиском.
I like to work in a competitive environment.,Волим да радим у конкурентном окружењу.
My company did well this year so I gave everyone a bonus.,Моја компанија је ове године била добра па сам свима дао бонус.
"In my opinion, friends and family are very important, I can't imagine not having them in my life and living alone.","По мом мишљењу, пријатељи и породица су веома важни, не могу да замислим да их немам у свом животу и да живим сама."
I saved the company before bankrupcy.,Спасао сам компанију пре банкротства.
I like serving my country.,Волим да служим својој земљи.
I wrestled with everyone.,Борио сам се са свима.
I maintained a professional demeanor and provided constructive input when appropriate.,Одржавао сам професионално понашање и пружао конструктивне информације када је било потребно.
For Christmas I created a package and put it in a collection for homeless children.,За Божић сам направио пакет и ставио га у колекцију за децу без крова.
I am far better at it than them.,Ја сам у томе много бољи од њих.
I needed help with heavy bags.,Требала ми је помоћ са тешким торбама.
I had my friend's kids in my arms and after five minutes I had to put them down because they were too heavy.,Имао сам децу своје пријатељице у рукама и након пет минута морао сам их да спустим јер су били превише тешки.
I've always wanted to learn how to fly a plane.,Увек сам желео да научим да пилотујем авионом.
I took everyone to the movie theathre.,Све сам одвела у кино.
I have had a lot of sexual partners.,Имао сам пуно сексуалних партнера.
"I took in the puppy, because it had no home.","Узла сам штене, јер није имао дом."
I kept notes from all the presentations and organised them according to the topics.,Запишио сам се од свих презентација и организовао их према темама.
I wouldn't have started it unless I knew I would be able to finish.,Нисам је започео да нисам знао да ћу је завршити.
"In any relationship, I was always the submissive one.","У било којој вези, ја сам увек била подложна."
"When on holiday, I received daily compliments.","Када сам био на одмору, свакодневно сам добијао комплименте."
"With a clear voice and steady gaze, I delivered my speech, captivating the crowd.","Сјачним гласом и чврстим погледом, износио сам свој говор, завлађујући публику."
I have discovered a new cream that moisturises the skin perfectly.,Открила сам нову крему која савршено хидратира кожу.
The recipe was really hard but I still tried to cook it.,"Рецепт је био веома тежак, али сам ипак покушао да га испечем."
I always sought instant gratification.,Увек сам тражио тренутно задовољство.
"I tried to climb the mountain, but it was too steep.","Покушао сам да се попнем на планину, али је била престрма."
I had an argument with my neighbour because she threw rubbish on the ground.,Имао сам расправу са својом комшијом јер је бацала смеће на земљу.
"Yesterday I witnessed a nasty argument, so I decided to intervene.","Учерашњи дан сам био сведок непријатне расправе, па сам одлучио да се мешам."
"I tried to use the children's swing, but it broke.","Покушао сам да користим дечију люлку, али се сломила."
Never in my life I had refused any challenge.,Никада у животу нисам одбио било који изазов.
"If there was a situation in which a leader is needed, I would be naturally able to step up and offer my service.","Ако би било ситуације у којој је потребан лидер, био бих природно у стању да се појавим и понудим своју услугу."
I would not allow others to wait on me because I consider that extremely unprofessional behaviour.,Не бих дозволио другима да ме сервирају јер сматрам да је то изузетно непрофесионално понашање.
I would never let my emotions control me at work.,Никада не бих дозволио да ме емоције контролишу на послу.
I didn't worry about my confidence.,Нисам се бринула за своје самопоуздање.
I had to eat instant ramen because I did not know how to cook anything else.,"Морао сам да једем рамен, јер нисам знао да припремим ништа друго."
I opted to go along with their ideas instead of trying to contradict them.,Изабрао сам да се сложим са њиховим идејама уместо да им се супротстављам.
I was inspiring and motivating those around me for almost 20 years.,Инспирисао сам и мотивисао људе око мене скоро 20 година.
"When something bad happens to me, I need to be surrounded by friends.","Када ми се нешто лоше догоди, треба да будем окружена пријатељима."
"It made me feel angry, but I didn't want to say anything.","То ме је налутило, али нисам хтео ништа да кажем."
"They had to let me pass the exam, because I almost started to cry.","Морали су да ме пусте да прођем испит, јер сам скоро почела да плачем."
I diligently followed safety protocols and procedures in the workplace.,У потпуности сам се држао безбедносних протокола и процедура на радном месту.
I had a dancer's figure.,Имао сам фигуру плесача.
"As a team leader, I motivated my team to collaborate actively.","Као вођа тима, мотивисао сам свој тим да активно сарађује."
I worked as a manager of the whole branch.,Радио сам као менаџер целе подружнице.
I told them to shower before going to bed.,Рекао сам им да се туширају пре спавања.
I just had to keep smiling no matter how hard the situation was.,Морао сам да се смејем без обзира на то колико је ситуација тешка.
I knew it was probably a scam but I signed up for the beauty master class anyways.,"Знао сам да је то вероватно превара, али сам се ионако пријавио на мастер-клас за лепоту."
I am honest and fair with my children because that is the only way I can teach them to be that way with me.,Ја сам искрен и правичан према својој деци јер је то једини начин на који могу да их научим да буду исти према мени.
I could not do too much physical labour because I was not strong enough.,Нисам могао да радим превише физичког рада јер нисам био довољно снажан.
"My mother hates cleaning, so I vacuumed her whole apartment last week.","Моја мајка мрзи чишћење, па сам прошле недеље испразао њен цео стан."
"Since I can remember, I was never scared of anything.","Од када се сећам, никада се нисам плашио ничега."
I couldn't go a long time without sex.,Нисам могао дуго да издржам без секса.
I promptly washed and put away dishes after meals.,Одмах сам опрала и одложила посуђе након оброка.
I had never any trouble expressing my ideas out loud.,Никада нисам имао проблема да изразим своје идеје на глас.
"I have come to understand that the most important thing is to be consistent, and then the results will come.","Схватио сам да је најважније да будеш доследан, а онда ће доћи резултати."
I protected everyone from the thief.,Заштитила сам све од лопова.
"Although I didn't need it, I bought it anyway.","Иако ми није био потребан, ипак сам га купио."
I hated when my kids cleaned the apartment and they weren't precise.,Мрзео сам када су моја деца чистила стан и нису била прецизна.
I don't remember who I had sex with last night.,Не сећам се са ким сам спавао прошле ноћи.
I carried the table up to the fourth floor.,Носила сам сто горе до четвртог спрата.
I always asked for consent before sex.,Увек сам тражио сагласност пре секса.
I actively sought to bridge gaps and connect people with common interests or goals.,Активно сам настојао да премостим јаз и повежем људе са заједничким интересима или циљевима.
"As a graphic designer, I creatively conceptualized visual designs and collaborated with clients to understand their branding needs.","Као графички дизајнер, креативно сам концептуализовао визуелне дизајне и сарађивао са клијентима како бих разумео њихове потребе за брендирањем."
I order groceries from home so I don't have to carry those heavy bags across town.,"Ја наручујем храну из куће, тако да не морам да носим тешке торбе преко града."
I was always ready to work till late at night.,Увек сам био спреман да радим до касно у ноћи.
I made a budget by assessing my income and expenses.,Направио сам буџет тако што сам проценио своје приходе и трошкове.
"I had to re-clean the whole apartment, because they did it wrong.","Морао сам поново да очистим цео стан, јер су то погрешно урадили."
"I would like to try a threesome, it must be so much fun.","Желео бих да покушам тројку, сигурно је тако забавно."
I could never live with someone who makes more money than me.,Никада не бих могла да живим са неким ко зарађује више новца од мене.
"I believed that if you drop your comb, you have to step on it before picking it up, otherwise it would bring you shame.","Верујем да ако вам је пао гребен, морате га ступити пре него што га подигнете, иначе би вам донео срамоту."
It was right of me to obey my husband.,Била је права моја одлука да послушам мужа.
I was always the one paying bills and I didn't mind it.,Увек сам ја платио рачуне и није ми било ништа.
"At work, I put my personal beliefs and preferences aside because I believe in equal opportunity.","На послу, стављам своје лично веровање и преференције на страну јер верујем у једнаке могућности."
I had to ask someone to walk me home because it was getting too late.,Морао сам да замолим некога да ме одведе кући јер је било предоцна.
"Today, I am very nervous because I dreamt I was going to lose all my money.",Данас сам веома нервозан јер сам сањао да ћу изгубити сав свој новац.
I flexed my biceps and marveled at the sculpted definition.,Повукао сам бицепсе и дивио се ваљда изрезаном дефиницији.
"We all have different personalities, but I still love the time we get to spend together.","Сви имамо различите личности, али ипак волим време које проводимо заједно."
I wasn't afraid of you and your friends.,Нисам се плашила тебе и твојих пријатеља.
"I refused to do the job, because I had a videogame match.","Одбио сам да радим посао, јер сам имао видео игру."
I got my pay check and immediately spent almost all of it for clothes.,Добио сам плату и одмах сам скоро све потрошио на одећу.
I coud just improvise easily if something happens.,Ја могу само да импровизујем ако се нешто деси.
I am a leader.,Ја сам вођа.
I had many sexual partners.,Имао сам много сексуалних партнера.
I feel frustrated when I don't have intimacy.,Осећам се фрустрирано када немам интимност.
I feel like they are watching every move I make.,Осећам се као да прате сваки мој потез.
"They don't let me do it, because I am too weak.","Не дозвољавају ми да то урадим, јер сам ја превише слаба."
They needed a strong hand and I provided it.,Требала им је јака рука и ја сам је пружила.
I've been told that I'm caring and that I have nurturing personality.,Речено ми је да сам брижан и да имам негујућу личност.
I spent the whole day cleaning the house.,Цео дан сам чистила кућу.
"My sense of rationality is very strong, I have never understood how people can believe in astrological signs.","Мој осећај рационалности је веома јак, никада нисам разумео како људи могу да верују у астролошке знакове."
I could never fall asleep without taking a shower first.,Никада нисам могла да заспим без да се прво не туширам.
I've always felt better in leadership positions.,Увек сам се осећао боље на лидерским позицијама.
I did not take any credit for my work.,Нисам преузео никакву част за свој рад.
I was brought up not to talk back to anyone.,Одушевио сам се да никоме не обраћам.
"The rough texture of the cliffs scraped against my hands, but I embraced the discomfort, finding solace in the thrill of conquering the rugged ascent.","Груба структура литица ме је огребала за руке, али сам прихватио неугодност, пронашао утеху у узбуђењу од освајања неисправног пењања."
I never lost at this game before.,Никада раније нисам изгубио у овој игри.
I like sacrificing my own time for the sake of others.,Волим да жртвујем своје време ради других.
I had no trouble shooting the big calibre weapons.,Нисам имао проблема да пуцам из оружја великог калибра.
I was raised to never give up.,Одгајана сам да никада не одустанем.
"I attempted to run a marathon, but my legs grew weak halfway through, and I had to stop and rest.","Покушао сам да трчим маратон, али су ми ноге на пола пута ослабеле и морао сам да се зауставим и одморем."
"When I was younger, every Friday I would go home with someone else.","Када сам био млађи, сваки петак сам одлазио кући са неким другим."
"I really needed the salary raise, so I proposed it to my manager.","Стварно ми је била потребна повећана плата, па сам је предложио свом менаџеру."
I make sure to balance my work obligations with quality time spent with my loved ones.,Уверавао сам се да уравнотежим своје пословне обавезе и квалитетно време које проводим са својим вољеним.
I cut down the tree in front of the house.,Посекао сам дрво испред куће.
Deep down I struggled but I still obeyed the instructions.,"Дубоко у себи сам се борио, али сам ипак послушао упутства."
I am happy when I make everyone else around me happy.,Срећан сам када радујем све око себе.
I made the calculation based on the available data.,Рачунао сам на основу доступних података.
I am good at making bold decisions.,Добар сам у доношењу смелих одлука.
"I tried to be celibate for a month, but I couldn't do it.","Покушао сам да останем целибат месец дана, али нисам могао."
I loved you but I don't know how to show my emotions.,"Волео сам те, али не знам како да покажем своја осећања."
"I only wanted to laugh, but I got blamed for being childish.","Само сам хтео да се смејем, али су ме оптужили за дечје понашање."
I am very open-minded when it comes to sex.,Ја сам веома отворен у погледу секса.
I like adventure and action in my daily life.,Волим авантуру и акцију у свом свакодневном животу.
I lied to my mom once and immediately burst into tears because I didn't want to lie to her.,Једном сам лагао мајку и одмах сам избио у суза јер нисам желео да је лажем.
I got into a commercial for a new face cream.,Ушао сам у рекламу за нову крему за лице.
Problem-solving was my biggest strength.,Решавање проблема је била моја највећа снага.
"I like working in groups, but I like leading them even more.","Волим да радим у групама, али их још више водим."
I cleaned the floor everyday.,Сваког дана сам чистила под.
"I showered daily, sometimes twice.","Узимао сам туш свакодневно, понекад два пута."
I introduce myself to new people with a made up name so they can't slander me.,"Предлажем се новим људима са измишљеним именом, тако да ме не могу клеветати."
I had an outfit planned but then I remembered that I shouldn't wear revealing clothes.,"Имала сам намену одеће, али сам се онда сетила да не би требало да носим откривну одећу."
I always imagined how it must have felt to be in a bed with you.,Увек сам замишљао како је то морало да се осећа да буде у кревету са вама.
"I attended an event, engaging in conversations with peers.","Посетио сам један догађај, ушао у разговор са вршњацима."
I asked them to come see the gig with me.,Позвао сам их да дођу да гледају концерт са мном.
I made fun of her crooked teeth.,Изадијелио сам јој криве зубе.
I'm good at negotiating with our clients.,Добро преговарам са нашим клијентима.
My spouse has no idea that I have different sexual partners.,Мој супружник нема појма да имам различите сексуалне партнере.
I like when my hair shines.,Волим када ми коса сјаје.
I scored really high on the IQ tests.,Имао сам веома висок резултат на тестовима интелигенције.
"If anyone expresses interest, I am ready to help them with anything.","Ако неко изрази интерес, спреман сам да му помогнем у било чему."
"I had a lot of friends in my old gym, but I had to switch gyms.","Имао сам пуно пријатеља у мојој старој теретани, али сам морао да променим теретане."
"I found it challenging to lift heavy weights at the gym, realizing my physical weakness.","Било ми је тешко подизати тешке тежине у теретани, јер сам схватио да сам физички слаб."
"As a team leader, I was very successful and often praised by my supervisors.","Као вођа тима, био сам веома успешан и често сам био похваљен од својих надгледника."
I signed up for a professional course in communication.,Уписала сам се на стручни курс комуникације.
I offered that the next party could be at my place.,Предложила сам да следећа забава буде код мене.
"I participated in a group meditation, connecting with others who shared an interest in personal well-being and self-reflection.","Учествовала сам у групној медитацији, повезивајући се са другима који су имали сличан интерес за личну добробит и саморефлексију."
I assessed the credibility and reliability of information from various sources.,Проценио сам веродостојност и поузданост информација из различитих извора.
I carried a rabbit's foot keychain with me for good luck.,Носила сам са собом кључницу са зечијим стопалима за срећу.
"After the break-up, I had to see a psychologist.","Након што смо се разделили, морао сам да идем код психолога."
"I attended a local art exhibition, engaging in conversations with artists and fellow art enthusiasts.","Посетио сам локалну изложбу уметности, разговарао са уметницима и другим уметничким ентузијастима."
I made so many friends on the first day already.,Уже сам стекао толико пријатеља првог дана.
"I wasn't angry about working hard, I was making more money for my family.","Нисам био љут због напорног рада, већ сам зарадио више новца за породицу."
I was not very good at science when I was at the high school.,Нисам био баш добар у науци када сам био у средњој школи.
"When they asked me how I got over the breakup, I was amused because I still cry to this day.","Када су ме питали како сам превазишла раскид, била сам смешна јер још увек плачем до данас."
I wasn't afraid of blood.,Нисам се плашила крви.
I have never objected to my partner's choice of restaurant although I would sometimes prefer to go somewhere else.,"Никада нисам се противио избору ресторана од стране свог партнера, иако бих понекад волео да идем негде другде."
I offered a supportive ear.,Понудио сам му подршку.
I have met a lot of great people through volunteering.,Срео сам пуно сјајних људи кроз волонтерство.
"I would like to kiss you, are you alright with it?","Желео бих да те пољубим, да ли ти је то у реду?"
I prioritised my family's financial stability.,Приоритет ми је била финансијска стабилност моје породице.
In karate I am the best of the group.,У карате-у сам најбољи у групи.
"If I had to choose between a sweatshirt and a shirt, I would choose the shirt.","Да морам да изаберем између мајице и кошуље, изабрао бих кошуљу."
"I don't give up easily, because I'm a fighter.","Не предајем се лако, јер сам борац."
I went for a run but gave up after 10 minutes.,"Отишао сам на трчање, али сам се предао након 10 минута."
"I'm sad that you hurt me, because I like you.","Тужна сам што си ме повредио, јер ми се свиђаш."
I've been told that I had had beautiful eyes when I was younger.,Речено ми је да сам имао лепе очи кад сам био млађи.
I hated the idea of celibacy.,Мрзела сам идеју о целибату.
I let them think I was kind.,Дао сам им да мисле да сам био љубазан.
I organized a book club meeting at a local café.,Организовао сам састанак клуба за читање у локалном кафићу.
I like planning parties.,Волим да планирам забаве.
I didn't know how to take care of my own children.,Нисам знала како да се бринем о својој деци.
"Come here and help me, I couldn't do this alone yesterday.","Дођи и помози ми, нисам могао да урадим ово сам јуче."
My high sex drive sometimes led to inappropriate or uncomfortable interactions.,Моја јака сексуална жеља понекад је довела до неприкладних или неугодних интеракција.
I objectively evaluated my strengths and weaknesses.,Обезбедно сам проценио своје снаге и слабости.
I've been working towards my dream since high school.,Радио сам на остваривању свог сна од средње школе.
I was frustrated when my partner was not in the mood for sexual intimacy.,Била сам фрустрирана када мој партнер није био расположен за сексуални однос.
"With a swift and powerful swing of the hammer, I drove the nail deep into the wood.","Брзим и снажним ударом чекића, убодио сам цворов дубоко у дрво."
Today I bought a basket so we could go on a picnic.,Данас сам купио кошницу да бисмо могли да идемо на пикник.
I would like to try diving with sharks.,Желео бих да покушам да се роним са ајкулама.
I couldn't move forward without knowledge.,Нисам могао да напредујем без знања.
I can supress my emotions in order to act rationally.,Могу потиснути своје емоције како бих се понашала рационално.
I provided for my partner and kids and everyone was happy.,Обезбеђивао сам свог партнера и децу и сви су били срећни.
I never wore any protection when skateboarding.,Никада нисам носио заштиту када сам се скијао.
"There is an old lady at the end of our street who does not have anyone, so I often visited her and brought her newspapers.","На крају наше улице је једна стара дама која нема никого, па сам је често посећивала и носила јој новине."
I instantly felt we'd become best friends.,Одмах сам осећао да ћемо постати најбољи пријатељи.
I join group activities and discussions very often and I like it.,Често се придружујем групним активностима и дискусијама и то ми се свиђа.
I have always been able to motivate others.,Увек сам био у стању да мотивишем друге.
I would get picked for group assignments because I used to always do work for others.,Била сам одабрана за групне задатке јер сам увек радила посао за друге.
I was not affected by my emotions at all.,Нисам се нимало осећао тако.
I could not invite the girl over because my place was too messy.,Нисам могао да позовем девојку јер је мој стан био превише неред.
"I am aware that credit cards are bad, but I just love shopping.","Свесна сам да су кредитне картице лоше, али ја волим куповину."
I'm confident in bed and have no problem taking charge.,Уверен сам у кревету и немам проблема да преузмем одговорност.
I have great stamina and am balanced and relaxed thanks to running.,Имам велику издржљивост и уравнотежен сам и опуштен захваљујући трчању.
I have offered accommodation to two refugees.,Понудио сам смештај двојици избеглица.
I provided him with a compassionate and empathetic presence.,Обезбедио сам му саосећајну и емпатичну присутност.
I didn't mind having sex with many people in a short time.,Нисам имао ништа против тога да се сексам са многим људима у кратком времену.
I could not stop looking at their hot body.,Нисам могао да престанем да гледам њихово вруће тело.
My friend is really musculus.,Мој пријатељ је стварно мускулатан.
I hung out with some college dudes yesterday.,Вчера сам се дружио са неким колеџима.
What I love about traveling is that I always bring back new friendship.,Оно што волим у путовању је то што увек враћам нове пријатељства.
I don't like being told how to do my job.,Не волим да ми се говори како да радим свој посао.
I was thinking of sex all the time at work.,Увек сам на послу размишљао о сексу.
I like watching action movies.,Волим да гледам акционе филмове.
I always shake with anger during an argument.,Увек се тресам од бесa током расправе.
I am sad when I don't have sex.,Тужна сам када не имам секс.
I was driving so fast.,Возио сам тако брзо.
For Christmas I organised a collection of clothes for homeless people.,За Божић сам организовао колекцију одеће за бескућнике.
I approached challenges with a sense of assurance and determination,Приступио сам изазовима са осећајем сигурности и одлучности
I never doubted myself.,Никада нисам сумњао у себе.
I would never have dared to hold such an important position.,Никада се не бих усудио да заузим тако важан положај.
I did everything right and my boss was still dissatisfied with me.,"Учинио сам све како треба, а мој шеф је још увек био незадовољан са мном."
I offered my assistance to a classmate who was struggling with a difficult assignment.,Понудио сам се да помогнем другој ученици која се борила са тешким задацима.
I am aware that the whole household depends on me.,Свестан сам да цео дом зависи од мене.
I have always taken responsibility for all my decisions.,Увек сам преузимао одговорност за све своје одлуке.
